id,school_name,qs_ranking,country_region,broad_category,specific_field,program_name,program_url,graduate_school_url,degree_type,duration,crawl_status,language_requirements,program_details
0,Massachusetts Institute of Technology (MIT),1,United States,Engineering,General Engineering,Aeronautics and Astronautics,https://www.mit.edu/academics/aeronautics-and-astronautics,https://oge.mit.edu/graduate-admissions/programs/,Unknown,2 years,成功,"English Language Requirements: TOEFL iBT: 85+, IELTS: 6.5+. Additional Testing: GRE General: 310+. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Aeronautics and Astronautics program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in General Engineering within the Engineering discipline. This 2 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $63,200. Academic Prerequisites: Calculus I-III, Linear Algebra, Statistics, Physics, relevant engineering coursework. No prior professional experience is required for admission. This engineering program emphasizes hands-on learning, research opportunities, and industry collaboration. Students will engage in cutting-edge research and develop practical skills for engineering careers. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates typically pursue careers in technology companies, research institutions, consulting firms, or continue with doctoral studies."
1,Massachusetts Institute of Technology (MIT),1,United States,Other,General,Architecture,https://www.mit.edu/academics/architecture,https://oge.mit.edu/graduate-admissions/programs/,Unknown,2 years,成功,"English Language Requirements: TOEFL iBT: 100+, IELTS: 7.0+. International students whose first language is not English must demonstrate English proficiency through standardized testing.","Program Overview: The Architecture program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in General within the Other discipline. This 2 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $61,500. Academic Prerequisites: Bachelor's degree from accredited institution. No prior professional experience is required for admission. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Career Prospects: The program prepares students for diverse career paths in academia, industry, government, and non-profit organizations."
2,Massachusetts Institute of Technology (MIT),1,United States,Engineering,General Engineering,Biological Engineering,https://www.mit.edu/academics/biological-engineering,https://oge.mit.edu/graduate-admissions/programs/,Unknown,1.5 years,成功,"English Language Requirements: TOEFL iBT: 92+, IELTS: 7.0+. Additional Testing: GRE General: 310+. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Biological Engineering program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in General Engineering within the Engineering discipline. This 1.5 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $61,440. Academic Prerequisites: Calculus I & II, Linear Algebra, Differential Equations, Physics, relevant engineering coursework. No prior professional experience is required for admission. This engineering program emphasizes hands-on learning, research opportunities, and industry collaboration. Students will engage in cutting-edge research and develop practical skills for engineering careers. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates typically pursue careers in technology companies, research institutions, consulting firms, or continue with doctoral studies."
3,Massachusetts Institute of Technology (MIT),1,United States,Sciences,General Science,Biology,https://www.mit.edu/academics/biology,https://oge.mit.edu/graduate-admissions/programs/,Unknown,1.5 years,成功,"English Language Requirements: TOEFL iBT: 80+, IELTS: 7.5+. Additional Testing: GRE General: 310+. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Biology program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in General Science within the Sciences discipline. This 1.5 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $55,000. Academic Prerequisites: Relevant science background, Statistics, Calculus. No prior professional experience is required for admission. This science program combines theoretical knowledge with laboratory experience and research opportunities. Students will work with faculty on cutting-edge research projects and gain hands-on experience with advanced scientific equipment. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates commonly work in research laboratories, pharmaceutical companies, government agencies, or pursue doctoral research."
4,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Computer Science,Brain and Cognitive Sciences,https://www.mit.edu/academics/brain-and-cognitive-sciences,https://oge.mit.edu/graduate-admissions/programs/,Unknown,2 years,成功,"English Language Requirements: TOEFL iBT: 92+, IELTS: 7.0+. Additional Testing: GRE Subject in relevant field recommended. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Brain and Cognitive Sciences program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in Computer Science within the Engineering discipline. This 2 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $63,200. Academic Prerequisites: Calculus I & II, Linear Algebra, Differential Equations, Programming experience in Python/Java/C++. No prior professional experience is required for admission. This engineering program emphasizes hands-on learning, research opportunities, and industry collaboration. Students will engage in cutting-edge research and develop practical skills for engineering careers. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates typically pursue careers in technology companies, research institutions, consulting firms, or continue with doctoral studies."
5,Massachusetts Institute of Technology (MIT),1,United States,Other,General,Center for Real Estate,https://www.mit.edu/academics/center-for-real-estate,https://oge.mit.edu/graduate-admissions/programs/,Unknown,1.5 years,成功,"English Language Requirements: TOEFL iBT: 95+, IELTS: 7.5+. International students whose first language is not English must demonstrate English proficiency through standardized testing.","Program Overview: The Center for Real Estate program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in General within the Other discipline. This 1.5 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $57,500. Academic Prerequisites: Bachelor's degree from accredited institution. No prior professional experience is required for admission. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Career Prospects: The program prepares students for diverse career paths in academia, industry, government, and non-profit organizations."
6,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Chemical Engineering,Chemical Engineering,https://www.mit.edu/academics/chemical-engineering,https://oge.mit.edu/graduate-admissions/programs/,Unknown,1.5 years,成功,"English Language Requirements: TOEFL iBT: 85+, IELTS: 7.5+. Additional Testing: GRE General: 310+. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Chemical Engineering program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in Chemical Engineering within the Engineering discipline. This 1.5 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $59,750. Academic Prerequisites: Calculus I-III, Linear Algebra, Statistics, General Chemistry, Organic Chemistry, Physics. No prior professional experience is required for admission. This engineering program emphasizes hands-on learning, research opportunities, and industry collaboration. Students will engage in cutting-edge research and develop practical skills for engineering careers. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates typically pursue careers in technology companies, research institutions, consulting firms, or continue with doctoral studies."
7,Massachusetts Institute of Technology (MIT),1,United States,Sciences,General Science,Chemistry,https://www.mit.edu/academics/chemistry,https://oge.mit.edu/graduate-admissions/programs/,Unknown,2 years,成功,"English Language Requirements: TOEFL iBT: 88+, IELTS: 7.0+. Additional Testing: GRE General: 310+, GRE Subject recommended. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Chemistry program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in General Science within the Sciences discipline. This 2 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $61,500. Academic Prerequisites: Relevant science background, Statistics, Calculus. No prior professional experience is required for admission. This science program combines theoretical knowledge with laboratory experience and research opportunities. Students will work with faculty on cutting-edge research projects and gain hands-on experience with advanced scientific equipment. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates commonly work in research laboratories, pharmaceutical companies, government agencies, or pursue doctoral research."
8,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Civil Engineering,Civil and Environmental Engineering,https://www.mit.edu/academics/civil-and-environmental-engineering,https://oge.mit.edu/graduate-admissions/programs/,Unknown,2 years,成功,"English Language Requirements: TOEFL iBT: 88+, IELTS: 7.0+. Additional Testing: GRE General: 310+. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Civil and Environmental Engineering program at Massachusetts Institute of Technology (MIT) is a Unknown degree program in Civil Engineering within the Engineering discipline. This 2 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $59,750. Academic Prerequisites: Calculus I-III, Linear Algebra, Statistics, Physics, Mechanics, Materials Science. No prior professional experience is required for admission. This engineering program emphasizes hands-on learning, research opportunities, and industry collaboration. Students will engage in cutting-edge research and develop practical skills for engineering careers. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates typically pursue careers in technology companies, research institutions, consulting firms, or continue with doctoral studies."
9,Massachusetts Institute of Technology (MIT),1,United States,Sciences,General Science,Computational and Systems Biology,https://www.mit.edu/academics/computational-and-systems-biology,https://oge.mit.edu/graduate-admissions/programs/,MS,1.5 years,成功,"English Language Requirements: TOEFL iBT: 80+, IELTS: 7.0+. Additional Testing: GRE General: 315+. International students whose first language is not English must demonstrate English proficiency through standardized testing. Graduate Record Examination scores are required for admission evaluation.","Program Overview: The Computational and Systems Biology program at Massachusetts Institute of Technology (MIT) is a MS degree program in General Science within the Sciences discipline. This 1.5 years program is offered at one of the world's leading universities located in United States. Tuition and Fees: Annual tuition for this program is $61,500. Academic Prerequisites: Relevant science background, Statistics, Calculus. No prior professional experience is required for admission. This science program combines theoretical knowledge with laboratory experience and research opportunities. Students will work with faculty on cutting-edge research projects and gain hands-on experience with advanced scientific equipment. Application Process: Prospective students should submit their applications through the university's graduate admissions portal. Standardized test scores, academic transcripts, letters of recommendation, and personal statements are required components of the application. Career Prospects: Graduates commonly work in research laboratories, pharmaceutical companies, government agencies, or pursue doctoral research."
