id,school_name,qs_ranking,country_region,broad_category,specific_field,program_name,program_url,graduate_school_url,degree_type,duration,acceptance_rate,crawl_status,language_requirements,program_details,university_logo
0,Massachusetts Institute of Technology (MIT),1,United States,Computer Science,Computer Science,Software Engineering,https://www.massachusettsinstituteoftechnologymit.edu/programs/software-engineering,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,1.5 years,5.0,成功,"English Language Requirements: TOEFL iBT: 110+, IELTS: 8.0+. Additional Testing: GRE General: 329+.","Program Overview: The Software Engineering program at Massachusetts Institute of Technology (MIT) is a MS degree program in Computer Science. This 1.5 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $69,226 per year. Academic Prerequisites: Computer Science fundamentals, Object-oriented programming, Database systems knowledge preferred. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,319 applications annually with an acceptance rate of 5.0%, admitting around 165 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
1,Massachusetts Institute of Technology (MIT),1,United States,Computer Science,Computer Science,Data Science,https://www.massachusettsinstituteoftechnologymit.edu/programs/data-science,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,4.7,成功,"English Language Requirements: TOEFL iBT: 106+, IELTS: 8.0+. Additional Testing: No additional tests required.","Program Overview: The Data Science program at Massachusetts Institute of Technology (MIT) is a MS degree program in Computer Science. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $79,182 per year. Academic Prerequisites: Computer Science fundamentals, Object-oriented programming, Database systems knowledge preferred. GPA Requirements: Minimum GPA: 3.7/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,540 applications annually with an acceptance rate of 4.7%, admitting around 166 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
2,Massachusetts Institute of Technology (MIT),1,United States,Computer Science,Computer Science,Artificial Intelligence,https://www.massachusettsinstituteoftechnologymit.edu/programs/artificial-intelligence,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,PhD,4-5 years,3.3,成功,"English Language Requirements: TOEFL iBT: 107+, IELTS: 7.5+. Additional Testing: GRE General: 318+.","Program Overview: The Artificial Intelligence program at Massachusetts Institute of Technology (MIT) is a PhD degree program in Computer Science. This 4-5 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $72,941 per year. Academic Prerequisites: Computer Science fundamentals, Object-oriented programming, Database systems knowledge preferred. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,403 applications annually with an acceptance rate of 3.3%, admitting around 178 students. Career Prospects: Graduates pursue careers in technology companies, research institutions, startups, and continue with doctoral studies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
3,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Engineering,Mechanical Engineering,https://www.massachusettsinstituteoftechnologymit.edu/programs/mechanical-engineering,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,11.9,成功,"English Language Requirements: TOEFL iBT: 109+, IELTS: 7.5+. Additional Testing: No additional tests required.","Program Overview: The Mechanical Engineering program at Massachusetts Institute of Technology (MIT) is a MS degree program in Engineering. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $83,528 per year. Academic Prerequisites: Bachelor's degree in Engineering, Calculus I-III, Linear Algebra, Differential Equations, Physics I-II. GPA Requirements: Minimum GPA: 3.7/4.0 (highly competitive). Admission Statistics: The program receives approximately 5,305 applications annually with an acceptance rate of 11.9%, admitting around 631 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
4,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Engineering,Civil Engineering,https://www.massachusettsinstituteoftechnologymit.edu/programs/civil-engineering,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,14.9,成功,"English Language Requirements: TOEFL iBT: 107+, IELTS: 8.0+. Additional Testing: GRE General: 328+, GRE Subject Test recommended.","Program Overview: The Civil Engineering program at Massachusetts Institute of Technology (MIT) is a MS degree program in Engineering. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $80,785 per year. Academic Prerequisites: Bachelor's degree in Engineering, Calculus I-III, Linear Algebra, Differential Equations, Physics I-II. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 2,136 applications annually with an acceptance rate of 14.9%, admitting around 318 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
5,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Engineering,Chemical Engineering,https://www.massachusettsinstituteoftechnologymit.edu/programs/chemical-engineering,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,14.7,成功,"English Language Requirements: TOEFL iBT: 101+, IELTS: 8.0+. Additional Testing: GRE General: 328+, GRE Subject Test recommended.","Program Overview: The Chemical Engineering program at Massachusetts Institute of Technology (MIT) is a MS degree program in Engineering. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $55,255 per year. Academic Prerequisites: Strong foundation in mathematics and physics, Relevant engineering coursework, Laboratory experience preferred. GPA Requirements: Minimum GPA: 3.7/4.0 (highly competitive). Admission Statistics: The program receives approximately 1,137 applications annually with an acceptance rate of 14.7%, admitting around 167 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
6,Massachusetts Institute of Technology (MIT),1,United States,Engineering,Engineering,Biomedical Engineering,https://www.massachusettsinstituteoftechnologymit.edu/programs/biomedical-engineering,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,9.0,成功,"English Language Requirements: TOEFL iBT: 103+, IELTS: 7.5+. Additional Testing: GRE General: 321+.","Program Overview: The Biomedical Engineering program at Massachusetts Institute of Technology (MIT) is a MS degree program in Engineering. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $69,080 per year. Academic Prerequisites: Bachelor's degree in Engineering, Calculus I-III, Linear Algebra, Differential Equations, Physics I-II. GPA Requirements: Minimum GPA: 3.9/4.0 (highly competitive). Admission Statistics: The program receives approximately 3,237 applications annually with an acceptance rate of 9.0%, admitting around 291 students. Career Prospects: Alumni work in engineering firms, technology companies, research labs, and government agencies.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
7,Massachusetts Institute of Technology (MIT),1,United States,Business,Business,Master of Business Administration,https://www.massachusettsinstituteoftechnologymit.edu/programs/master-of-business-administration,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MBA,1.5 years,3.1,成功,"English Language Requirements: TOEFL iBT: 109+, IELTS: 8.0+. Additional Testing: No additional tests required.","Program Overview: The Master of Business Administration program at Massachusetts Institute of Technology (MIT) is a MBA degree program in Business. This 1.5 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $84,850 per year. Academic Prerequisites: Bachelor's degree from accredited institution, 2-5 years work experience (MBA), GMAT/GRE scores required. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 6,250 applications annually with an acceptance rate of 3.1%, admitting around 193 students. Career Prospects: Graduates advance to leadership positions in corporations, consulting, finance, and entrepreneurship.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
8,Massachusetts Institute of Technology (MIT),1,United States,Business,Business,Finance,https://www.massachusettsinstituteoftechnologymit.edu/programs/finance,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,1 year,5.1,成功,"English Language Requirements: TOEFL iBT: 110+, IELTS: 7.5+. Additional Testing: GRE General: 310+.","Program Overview: The Finance program at Massachusetts Institute of Technology (MIT) is a MS degree program in Business. This 1 year program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $84,690 per year. Academic Prerequisites: Bachelor's degree from accredited institution, 2-5 years work experience (MBA), GMAT/GRE scores required. GPA Requirements: Minimum GPA: 3.8/4.0 (highly competitive). Admission Statistics: The program receives approximately 6,222 applications annually with an acceptance rate of 5.1%, admitting around 317 students. Career Prospects: Graduates advance to leadership positions in corporations, consulting, finance, and entrepreneurship.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
9,Massachusetts Institute of Technology (MIT),1,United States,Sciences,Sciences,Chemistry,https://www.massachusettsinstituteoftechnologymit.edu/programs/chemistry,https://www.massachusettsinstituteoftechnologymit.edu/graduate-admissions/,MS,2 years,12.4,成功,"English Language Requirements: TOEFL iBT: 101+, IELTS: 8.0+. Additional Testing: No additional tests required.","Program Overview: The Chemistry program at Massachusetts Institute of Technology (MIT) is a MS degree program in Sciences. This 2 years program is offered at a world-renowned university ranked #1 globally. Tuition and Fees: $82,743 per year. Academic Prerequisites: Science background, Mathematics through calculus, Laboratory skills, Independent research experience. GPA Requirements: Minimum GPA: 3.7/4.0 (highly competitive). Admission Statistics: The program receives approximately 1,745 applications annually with an acceptance rate of 12.4%, admitting around 216 students. Career Prospects: Alumni pursue diverse careers in academia, industry, government, and non-profit organizations.",/home/ubuntu/university_logos/Massachusetts_Institute_of_Technology_MIT_logo.png
